path	bytes	sha256
.gitattributes	47	6b38c51c3ab1cd1b9d0cd1c7242e1a49f02ef645b8cbfdd89af9818d0970072b
.github/workflows/release-integrity.yml	282	2f75f409dd6a4fa814debdcb7259233f7ebbe9004c4553cd6314f9c15588cfd4
.gitignore	155	e43a6bfcca30719adbdbf6640ce5d8ca6f8437521a14059c067e8636054d5177
CITATION.cff.template	416	08e77cfe141de2d571734c70b04201857d47d5a6422efdd1dfd9037740f1576e
LICENSE_PROPOSAL.md	488	5407353a698e2b3ef7045226081fd68d378cc629b901de3b85dfefee441735de
README.md	3531	6901c55da70b3ae05e8d90ae25a6ea098b286ec87e29705f892c53f61cb2c1de
SOURCE_COMMIT	41	49250f625069f22b1acaa6392ba19bf5862603f9245ae700fca5f80f67ef1cd8
configs/runtime_environment_lock_v1.json	4139	269fd9c43bdbecf5cdc0da3e0ab065b140ad657fb386699265e51612bcb21b5f
data/README.md	325	d46af6faf92fddfe8be954b48cf53b860f736d4a1aa89dac1a91c43beb7d5d29
docs/DATA_AVAILABILITY.md	864	6894aeb5f5c99391c0daea208ec9e47b1c01e88324d11ee2de22c780c592fafc
docs/RELEASE_REVIEW_CHECKLIST.md	1088	c6031c0e86030fb643ab8b79f7690944c72a45b4686389e298c491c4083ad5e3
docs/REPRODUCIBILITY.md	1720	4b172fa1f75fb16bdda8c831bf199ddf4f9584cf408234c242b0b8b27d3b5634
docs/RESULTS_OVERVIEW.md	775	e83042c1aff1428450356c7ac7e394bf76bf23fbb28d39267fb4d5ee45a8ae06
docs/data_inventory.tsv	7357	883bca4ab5a2ff9a624e285d7997ae9fdc06b4f03d3e93e8503855768046711e
docs/pilot_lr_panel.tsv	938	68c8d41185220d04e99de3323d21c7457e814d0de16780f258387334f9efc4e6
docs/pilot_lr_panel_provenance.md	1527	e1bbac6a8b90ef8a2b1eeb82c51276c1bc705509463c742703e1f3ad258817ae
docs/pilot_pathway_target_panel.tsv	3721	0569883237328d91cd9674ecb08e9a0c033a54407599f0565b1eaa27af26935a
docs/pilot_scoring_schema_v3.md	2140	28b09527c265402a35b8cefd0f22537227493fa7367b82c51fefa28650551f9e
docs/runtime_environment_lock.md	2069	7c0a44bbeb4a201e342f281c83d66ffad5f4f5d193ffc95e84943e0ecddf5735
docs/sample_level_metadata.tsv	6835	598be0d1baaf2242df9715f5a3a0250eef91273ba5a51c19658b66d83563425a
docs/software_environment_summary.md	5885	35574d30c373969fc1d04f49375286bd7eabadd0668f946119bcb7ce2fc2d14e
docs/task_c_four_method_full_benchmark.md	1427	bf786475456dc135756b3657eb65895172ea8d2565489d8e1c4c419f5f412279
docs/task_d_fake_lr_null_summary.md	846	244e765437cee90c57ef29978eea5d372cb1415af5ed85890c7df58384c4e7fe
docs/task_d_label_null_summary.md	909	5ca6b8ca167da8d474063b2e436c093b7a2f285f547b8d2a7e302dd5d700a24d
docs/task_d_spatial_null_summary.md	906	2b901952dc27e860caf35a3718490f28d54f165e54a87b6fc464b50a7a3676eb
docs/task_e_cellchat_v3_consistency_diagnostics.md	3783	4c5a70e74d30a57e054d6f6f5fcb9a059886b111686a5ff2407d902f90bd5e78
docs/task_e_cellchat_v4_sensitivity.md	4035	ddda62c1ac8adf1963de084b34a2a26ce015b5833c3cf6b56a43803777ded192
docs/task_e_high_v3_multi_evidence_calibration.md	4500	31867e4392fde01d879cd0487ec7bc6814e4ae5f4e9da89d3e10661dd1546ca4
docs/task_f_annotation_provenance.md	1975	c114be60af4692895deb088bcaad7ca0494d9fd7e2b71beee8e0eddf51920e2d
docs/task_f_biological_sample_map.tsv	1091	50dc873727ae82784121d1ffd340f87c775b2fa75aa4f3c7634baad1acdb691e
docs/task_f_f5_full_benchmark_figure.md	2455	d92a248791ff31e94a7146b3965c72c8977a79742b6a062a4d8551632c4925e9
docs/task_f_f5_full_score_results.md	4005	4cb4f7a3773d1b352122bc2646a26cc2a369fd83577ad1a16633bc66d453644d
environment/python-baseline-with-liana-freeze.txt	2102	ddd73d43064ce24b9d29f9d4a2fb3c6ae41da30af22de15fc86eb662d22cc334
environment/python-baseline-with-liana-pip-check.txt	30	9261363b733079a641c2e4cc9bc46ffa1d8336945a87f807b6cf68847dbc9b09
environment/python-baseline-with-liana-smoke.txt	154	1b2d0db3baedf8212746c89f4d870768d5e75fa7f98a5ddecdaf38b95b8ca99c
environment/python-commot-freeze.txt	1982	7b00674cbfe4d43291b0dfe35d34a786bd81a5584c5d4ab26f0c21aeb19ce667
environment/python-commot-pip-check.txt	30	9261363b733079a641c2e4cc9bc46ffa1d8336945a87f807b6cf68847dbc9b09
environment/python-commot-requirements.in	294	734f90aa0e91124c6d2f2e46d2082f13b6a47b3d94794dccd1dd2d3752a958d7
environment/python-commot-smoke.txt	190	aab2ebd388325d26a2c7619a64b671911835d1cec62769a54c8b344fc8e2d45c
environment/python-liana-requirements.in	172	0ab55f7c616a1cc5ed2c8b21ac3f75578a3302314aaf061b9bd395af4a758d62
